album_type,album_name,album_year,song_name,song_lyrics
album,Unknown,1965,What A Shame,What a shame. Nothing seems to be going right. What a shame. Nothing seems to be going right. It seems easy to me that everything can be alright. What a shame. They always wanna start a fight. What a shame. They always wanna start a fight. Well it scares me so. I could sleep in the shelter all night. Well alright. What a shame. You all heard what I said. What a shame. Y'all heard what I said. You might wake up in the morning. And find your poor self dead
album,Unknown,1965,I Need You Baby (Mona),"Machine Gun Kelly - ""Why Are You Here"". NF - ""PAID MY DUES"". Kehlani - ""All Me"". Alec Benjamin - ""Mind Is A Prison"". Alan Walker & Ava Max - ""Alone, Pt. II"""
album,Unknown,1965,Down The Road Apiece,"Now, if you wanna hear some boogie like I'm gonna play. It's just an old piano and a knockout bass. The drummer's man's a cat, they call Charlie McCoy. You know, remember that rubber legged boy?. Mama, cookin' chicken fried and bacon grease. Come on along boys, it's just down the road apiece. Well there's a place you really get your kicks. It's open every night about twelve to six. Now if you wanna hear some boogie you can get your fill. And shove and sting like an old steam drill. Come on along you can lose your lead. Down the road, down the road, down the road apiece. Well there's a place you really get your kicks. It's open every night about twelve to six. Now if you wanna hear some boogie you can get your fill. And shove and sting like an old steam drill. Come on along, you can lose your lead. Down the road, down the road, down the road apiece"
album,Unknown,1965,Off The Hook,"Sittin' in my bedroom late last night. Got into bed and turned out the light. Decided to call my baby on the telephone. All I got was an engaged tone. It's off the hook. It's off the hook. It's off the hook. It's off the hook. It's off the hook. Talkin' so long she upset my mind. Why is she talkin' such a long time?. Maybe she's sleeping, maybe she's ill. Phone's disconnected, unpaid bill. It's off the hook. It's off the hook. It's off the hook. It's off the hook. It's off the hook. Don't wanna see her, afraid of what I'd find. Tired of letting her upset me all the time. Back into bed started reading my books. Take my phone right off of the hook. It's off the hook. It's off the hook. It's off the hook. It's off the hook. It's off the hook. It's off the hook. [repeat and fade]"
album,Unknown,1965,Pain In My Heart,"Pain in my heart. Treatin' me poor. Where can my baby be?. Lord, no one knows. Pain in my heart. Won't let me sleep. Where can my baby be. Lord, where is she?. And one day. My days are gettin' tough. Won't you come back, come back, come back, baby. Lord. Pain in my heart. Won't let me be. Oh, oh, oh, oh, I wake up restless night in misery. Lord. Won't somebody stop this pain. Lord, one day. My days are gettin' tough. Won't you love me, love me, love me, baby. Pain in my heart. Pain in my heart. Somebody stop this. Pain in my heart. It's killin' me baby. This pain in my heart. Oh, oh, oh, oh. Pain in my heart. This pain in my heart"
album,Unknown,1965,Oh Baby (We Got A Good Thing Goin'),"Machine Gun Kelly - ""Why Are You Here"". NF - ""PAID MY DUES"". Kehlani - ""All Me"". Alec Benjamin - ""Mind Is A Prison"". Alan Walker & Ava Max - ""Alone, Pt. II"""
album,Unknown,1965,Little Red Rooster,I am the little red rooster. Too lazy to crow for day. I am the little red rooster. Too lazy to crow for day. Keep everything in the farm yard upset in every way. The dogs begin to bark and hounds begin to howl. Dogs begin to bark and hounds begin to howl. Watch out strange cat people. Little red rooster's on the prowl. If you see my little red rooster. Please drive him home. If you see my little red rooster. Please drive him home. Ain't had no peace in the farm yard. Since my little red rooster's been gone
album,Unknown,1965,"Surprise, Surprise","Machine Gun Kelly - ""Why Are You Here"". NF - ""PAID MY DUES"". Kehlani - ""All Me"". Alec Benjamin - ""Mind Is A Prison"". Alan Walker & Ava Max - ""Alone, Pt. II"""
album,Out Of Our Heads,1965,Mercy Mercy,"Have mercy, have mercy, baby. Have mercy, have mercy on me. Well I went to see the gypsy. To have my fortune read. She said ""Man, your baby gonna leave you. Her bags are packed up under the bed,"". That's right. Have mercy, have mercy, baby. Have mercy, have mercy on me. But if you leave me baby. Girl if you put me down. I'm gonna make it to the nearest river child. And jump overboard and drown. That's right. Have mercy, have mercy, baby. Have mercy, have mercy on me. I said hey hey baby, hey hey now. What you trying to do. Hey hey baby, hey hey now. Please don't say we're through. Have mercy, have mercy, baby. Have mercy, have mercy on me. But if you stay baby. I tell you what I'm gonna do. I'm gonna work two jobs, seven days a week. And bring my money home to you. That's right. Have mercy, have mercy, baby. Have mercy, have mercy on me. Yeah. Have mercy, have mercy, baby. Have mercy, have mercy on me"
album,Out Of Our Heads,1965,Hitch Hike,"I'm going to Chicago that's the last place my baby stayed. I'm packing up my bags I'm gonna leave this town right away. I'm gonna find that girl if I have to hitch hike around the world. ""Chicago City"" that's what the sign on the freeway read. I'm gonna keep on going 'til I get to that street's called 6th and Main. I've gotta find that girl if i have to hitch hike around the world. C'mon hitch hike. Hitch hike children. Hitch hike. Hitch hike baby. Hitch hike. Hitch hike baby. C'mon hitch hike. Hitch hike darling. I'm going to St. Louis but my next stop just might be L.A., that's what I say. I got no money in my pocket so i'm going to have to hitch hike all the way. I'm gonna find that girl if i have to hitch hike around the world. C'mon hitch hike. Hitch hike children. Hitch hike. Hitch hike baby. Hitch hike. Hitch hike baby. C'mon hitch hike. Hitch hike children. Now c'mon c'mon hitch hike. Hitch hike children. Hitch hike. Hitch hike darling. C'mon hitch hike. Hitch hike children. Hitch hike hitch hike. Hitch hike baby. Mmmmm..."
