song_name,emotion,score
Street Fighting Man,analytical,0.697586
Like A Rolling Stone,joy,0.577876
Like A Rolling Stone,tentative,0.77267
Not Fade Away,joy,0.704202
Not Fade Away,tentative,0.549145
Shine A Light,joy,0.686991
Shine A Light,tentative,0.73063
The Spider And The Fly,fear,0.581598
The Spider And The Fly,joy,0.547515
The Spider And The Fly,tentative,0.831699
I'm Free,joy,0.741685
I'm Free,tentative,0.920133
Wild Horses,sadness,0.621572
Wild Horses,joy,0.611941
Wild Horses,tentative,0.733641
Wild Horses,analytical,0.564527
Let It Bleed,sadness,0.556987
Let It Bleed,joy,0.566391
Let It Bleed,confident,0.807211
Dead Flowers,sadness,0.5619
Slipping Away,sadness,0.669516
Slipping Away,joy,0.554907
Slipping Away,tentative,0.939317
Angie,sadness,0.539043
Angie,joy,0.618857
Angie,confident,0.800215
Love In Vain,joy,0.622206
Love In Vain,sadness,0.587292
Love In Vain,confident,0.627908
Sweet Virginia,joy,0.624526
Sweet Virginia,anger,0.591006
Little Baby,joy,0.549925
Little Baby,tentative,0.580848
Flip The Switch,joy,0.55287
Flip The Switch,anger,0.619567
Flip The Switch,sadness,0.51062
Anybody Seen My Baby?,sadness,0.567255
Anybody Seen My Baby?,joy,0.589938
Anybody Seen My Baby?,tentative,0.979138
Anybody Seen My Baby?,analytical,0.658785
Low Down,joy,0.540853
Low Down,tentative,0.775424
Already Over Me,joy,0.554968
Already Over Me,fear,0.597385
Already Over Me,anger,0.634421
Already Over Me,sadness,0.587379
Already Over Me,tentative,0.575471
Gunface,sadness,0.559965
Gunface,joy,0.535013
Gunface,confident,0.554909
You Don't Have To Mean It,joy,0.584618
You Don't Have To Mean It,tentative,0.840983
Out Of Control,joy,0.651919
Out Of Control,sadness,0.667439
Saint Of Me,sadness,0.599791
Saint Of Me,joy,0.587892
Might As Well Get Juiced,anger,0.591178
Might As Well Get Juiced,sadness,0.631624
Might As Well Get Juiced,joy,0.585478
Might As Well Get Juiced,analytical,0.807315
Might As Well Get Juiced,tentative,0.913678
Always Suffering,joy,0.601923
Always Suffering,sadness,0.632066
Always Suffering,confident,0.561979
Too Tight,joy,0.536822
Thief In The Night,sadness,0.520722
Thief In The Night,tentative,0.821096
How Can I Stop?,joy,0.55045
How Can I Stop?,sadness,0.622271
How Can I Stop?,tentative,0.972222
Rough Justice,sadness,0.63846
Rough Justice,joy,0.513427
